HOMO,LUMO,Gap Energy,Dipole Moment,Ionization Potential,Electron Affinity,Electronegativity,Global Hardness,Global Softness,Electrophilicity,Fraction of electron transferred,IE (%)
-6.477,-1.895,4.582,4.159,6.477,1.895,4.186,2.291,0.436,3.824224356,0.614,70.71
-6.407,5.377,11.784,2.763,6.407,-5.377,0.515,5.892,0.17,0.02250721317,0.55,77.17
-6.238,5.379,11.617,2.351,6.238,-5.379,0.429,5.808,0.172,0.01584375,0.566,79.86
-5.914,-1.992,3.922,2.82,5.914,1.992,3.953,1.961,0.51,3.984245028,0.777,84
-6.511,-2.274,4.24,4.13,6.511,2.274,4.39,2.19,0.456,4.4,0.615,25.6
-6.013,-2.496,3.51,5.31,6.013,2.496,4.25,1.76,0.568,5.131,0.78,98.5
-6.392,-1.36,5.032,2.976,6.392,1.36,3.876,2.516,0.397,2.985,0.62,87
-6.446,-1.632,4.814,4.519,6.446,1.632,4.039,2.407,0.415,3.388,0.615,69
-6.392,-1.36,5.032,2.525,6.392,1.36,3.876,2.516,0.397,2.985,0.62,83
-6.727,-0.949,5.77,4.09,6.727,0.949,3.84,2.89,0.345,2.55,0.547,17.7
-7.631,-1.91,5.721,6.356,7.631,1.91,4.77,2.86,0.349,3.977,0.389,90.2
-6.596,-4.655,1.941,2.804,6.596,4.655,5.626,0.971,1.03,16.29859732,0.708,90
-6.371,-1.938,4.433,3.901,6.371,1.938,4.154,2.217,0.451,3.891681552,0.642,73
-6.392,-1.523,4.869,5.438,6.392,1.523,3.957,2.869,0.348,2.728,0.53,65
-6.038,-1.985,4.053,8.9,6.038,1.985,4.011,2.026,0.493,3.97,0.737,90
-6.068,-2.095,3.973,8.399,6.068,2.095,4.081,1.986,0.503,4.192,0.736,97
-6.476,-1.714,4.572,5.787,6.476,1.714,4.095,2.381,0.419,3.521,0.61,91
-6.228,-1.577,4.711,2.433,6.228,1.577,3.902,2.325,0.43,3.274,0.666,81.1
-5.93,-1.46,4.47,1.67,-3.69,1.46,3.695,2.24,-2.24,3.04,-0.298,75
-6,-1.55,4.45,0.43,-3.77,1.55,3.775,2.23,-2.23,3.18,-0.775,84
-5.92,-1.43,4.49,1.6,-3.67,1.43,3.675,2.25,-2.25,2.99,-0.769,80
-6.02,-1.57,4.45,0.57,-3.79,1.57,3.795,2.23,-2.23,3.22,-0.831,88
-6.05,-1.62,4.43,1.85,-3.83,1.62,3.835,2.22,-2.22,3.3,-0.817,93
-6.13,-1.71,4.42,0.88,-3.92,1.71,3.92,2.21,-2.21,3.47,-0.822,90
-6.035,-2.269,3.766,4.738,6.035,2.269,4.152,1.883,0.531,5.960872013,0.756,80.42
